name,email,phone,address
Aldo,philippines@aldointertnational.com,+63 (32) 236 1915,"UGF SM City Cebu, Juan Luna Avenue Extension, North Reclamation Area, Cebu City 6000 Cebu"
Alcordo International,info@alcordo-advertising.com,+63 (32) 253 9159,"25H Nichols Heights Guadalupe, Cebu City 6000 Cebu"
Alcon Industries,aiigroup@mozcom.com,+63 (32) 261 9952,"Rizal Avenue Extension, Basak San Nicolas, Cebu City 6000 Cebu"
Alburs Restaurant,team@albursrestaurant.com,+63 (32) 344 1090,"General Lim Street, Villa Aurora, Mabolo, Cebu City 6000 Cebu"
Alba Uno Hotel,reservation@albauno.com,+63 (32) 318 1613,"1007 Villa Amores Compound, Apas, Cebu City 6000 Cebu"
Alaska Refrigeration & Airconditioning Parts & Supplies,alaska168@yahoo.com,+63 (32) 261 6688,"194 B. Aranas Street, Cebu City 6000 Cebu"
Alamo Transport Leasing Services,alamocebu@gmail.com,+63 (32) 520 3537,"Waterfront Cebu City Hotel & Casino, Salinas Drive, Lahug, Cebu City 6000 Cebu"
"Alain O. Senerpida, Md., Dpbps.",alain@aosplasticsurgery.com,+63 (32) 516 1141,"Room 203 St. Vincent General Hospital, 210 D. Jones Avenue, Cebu City 6000 Cebu"
Aj & L Advertising,ajladvertising.prints@gmail.com,+63 (32) 410 9783,"116 Dionisio Jakosalem Street, Kamagayan, Cebu City 6000 Cebu"
Air21,write-to-air21@af2100.com,+63 (32) 345 6245,"North Arcade, Banilad Town Center, Gov. M. Cuenco Avenue, Banilad, Cebu City 6000 Cebu"
Amwslai,info@amwslai.com.ph,+63 (32) 233 3285,"Lot 68-B Salinas Drive, Lahug, Cebu City, Cebu"
Aicila Suites,aicilasuites@gmail.com,+63 (32) 238 1091,"M.L. Quezon Avenue corner Gov. Cuenco Street, Talamban, Cebu City 6000 Cebu"
Agriworld Veterinary Philippines,agriworld2009@gmail.com,+63 (32) 345 2477,"Cuenco Avenue, Banilad, Cebu City 6000 Cebu"
