name,email,phone,address
Centre For Sight,2020@larrazabaleye.com,+63 (32) 256 2020,"Osmena Boulevard, Capitol Site, Cebu City 6000 Cebu"
Cebu Doctors' University Hospital,info@cduh.com.ph,+63 (32) 255 5555,"Osmena Boulevard, Capitol Site, Cebu City 6000 Cebu"
Cebu Daily News,cdn@inquirerpublications.ph,+63 (32) 232 7618,"Cebu Daily News Building, S. Osmena Boulevard corner Kaoshiung Street, North Reclamation Area, Cebu City 6000 Cebu"
Cebu Country Club,cebucountryclub@yahoo.com,+63 (32) 231 0345,"Country Mall, Banilad, Cebu City 6000 Cebu"
Cebu City Marriott Hotel,mhrs.cebph.pra@marriotthotels.com,+63 (2) 3 411 5800,"Marriott Hotel Manila, 10 Newport Boulevard, Newport City Complex, Cebu City 6000 Cebu"
Cebu Champion Hardware,champion_hdwe@yahoo.com,+63 (32) 416 9587,"42 Plaridel Street, Cebu City 6000 Cebu"
Cebu Champion Hardware And Electrical Depot,info@cebuchampionhardware.com,+63 (32) 231 7139,"11 Pres. Quirino, Villa Aurora Subdivision, Kasambagan, Cebu City 6000 Cebu"
Cebu Business Continuous Forms,cbcfincorporated@gmail.com,+63 (32) 231 1397,"LCH Building, 19 Serafin Borces Street, Mabelo, Cebu City 6000 Cebu"
Cebu Bradford School,brad.church@gmail.com,+63 (32) 253 4094,"340-P Ascencion Street, Cebu City 6000 Cebu"
Cebu Boltcenter,tommy_gochuico@yahoo.com,+63 (32) 238 1474,"98 M. J. Cuenco Avenue corner T. Padilla Street, Cebu City 6000 Cebu"
