name,email,phone,address
Cebu Steel,plaridelsales@cebuoversea.com,nan,"82 Plaridel St, Cebu City, Cebu"
Cebu Sherilin Trading,sherilin.cebu@gmail.com,nan,"44 Cabahug Extension Kasambagan, Ayala Access Road Mabolo, Cebu City 6000 Cebu"
Cebu Septic Tank,cebuseptic@gmail.com,+63 (922) 850 1538,"26-Y Bayabas Ext, Punta Princesa, Cebu City 6000 Cebu"
Cebu Seat Leasing,enquiries@cebuseatleasing.com,nan,"901 The Insular Life, Cebu Business Center, Mindanao Avenue corner Biliran Road, Cebu City 6000 Cebu"
Cebu Sealtrust Auto Supply,cebusealtrust@gmail.com,nan,"TCi Center, Leon Kilat Street, Cebu City 6000 Cebu"
Cebu Rental Motorbikes Services,rentmotorcebu@gmail.com,nan,"165, 4th street, Espina vil, Guadalupe, Cebu City, Cebu"
Cebu Raja Park Hotel,info@rajahparkhjotel.com,nan,"Benigno Du Building, Fuente Osmeña, Cebu City 6000 Cebu"
Cebu R Hotel,info@ceburhotel.com,nan,"101 Don Mariano Cui Street, Capitol Site, Cebu City 6000 Cebu"
Cebu Psi Hose Center,psi@cebupsi.com,nan,"No. 8 Gochan Building, Leon Kilat Street, Cebu City 6000 Cebu"
Cebu Progress Marketing,cpm.main@yahoo.com,+63 (922) 816 4006,"P. Lopez Street, Cebu City 6000 Cebu"
