name,email,phone,address
Sinha Bahia De Capoeira Cebu,info@capoeira.ph,+63 (32) 412 4076,"Level 3, Luym Building, Plaridel St, Cebu City, Cebu City 6000 Cebu"
Canizares The Architects,jmcarcht@yahoo.com,+63 (32) 253 5431,"Juana Osmeña Street, Cebu City 6000 Cebu"
Candy Corner,info@candycorner.ph,+63 (32) 255 6823,"2/F Ayala Center Cebu, Archbishop Reyes Street, Cebu Business Park, Cebu City 6000 Cebu"
Candia Dental & Wellness Clinic,candia.dentalclinic@gmail.com,+63 (032) 410 7772,"LG, FLB Corporate Center, Cebu Business Park, Cebu City, Cebu"
Camg Fashion Emporium,camg.fashion@gmail.com,nan,"G/F The Forum Building, Archbishop Reyes Avenue, Cebu City 6000 Cebu"
Www.california-electronics.com,sales@california-electronics.com,+63 (2) 7 757 1887,"Ace Street, Dona Maria Village 2, Punta Princesa, Cebu City 6000 Cebu"
Calicoan Ocean Villas,sales@calicoanisland.com,+63 (32) 236 5577,"Tsc Residential Suites, Villa Aurora, Cebu City 6000 Cebu"
Cake Couture By Trina,cakecouture@ymail.com,+63 (32) 316 2181,"Banilad, Banilad Town Center, Cebu City 6000 Cebu"
Laguna Garden Cafe,lgc@cafelaguna.com,+63 (32) 233 8600,"Biliran Road, Cebu Business Park, Cebu City 6000 Cebu"
Laguna Catering And Commissary Center,catercom@cafelaguna.com,+63 (32) 232 7488,"Veteran'S Drive Corner Torralba Street, Lahug, Cebu City 6000 Cebu"
