name,email,phone,address
Ace-1 It Consultancy,cjacebes@consultancy-it.com,+63 (32) 412 9153,"4/F Ongtiak Building, 65 Gen. Maxilom Avenue, Cebu City 6000 Cebu"
Accessoria,marketing@accessoriainc.com,+63 (32) 424 6551,"Sitio Bagacay Corner Tawagan, Cebu City 6000 Cebu"
Acbarrera Architects,acbarrera.architects@yahoo.com,+63 (32) 514 4751,"G/F Veloso Apartments, Gorordo Avenue, Gonzales Compound, Cebu City 6000 Cebu"
Abztrak,abztrakcebu@yahoo.com,+63 (32) 402 9350,"60-A Ayaay Arcade, Maxilom Avenue, Zapatera, Cebu City 6000 Cebu"
Aboitiz Land,adoni.aboitiz@aboitiz.com,+63 (32) 234 1000,"Country Mall, Banilad, Cebu City 6000 Cebu"
Abm Global Solutions,marketing@abmglobal-solutions.com,+63 (32) 232 7707,"Unit 702 Golden Peak Tower, Gorordo Avenue corner N. Escaro Street, Cebu City, Cebu"
Adult And Pediatric Therapy Center,ablebuddiescenter@gmail.com,+63 (94) 941 6237,"2nd/Floor Jose Martinez Building, Room 24-B Jones Avenue, Sta.Cruz, Cebu City 6000 Cebu"
Abenson,customerservice@abenson.com,+63 (32) 232 8348,"3/F Ayala Center Cebu, Archbishop Reyes Street, Cebu Business Park, Cebu City 6000 Cebu"
Abear Architects Consultant Constructor,millenium_micc07@yahoo.com,+63 (32) 255 4606,"A. Geson Building, 310 D. Jakosalem Street, Cebu City 6000 Cebu"
Abbysean Events- Cebu Wedding Planner,abbyseanevents@yahoo.com,+63 (928) 707 6208,"Ground Rivera Printing, 38 Figueroa St., San Nicolas Proper, Cebu City 6000 Cebu"
Abaseria Deli And Cafe,abseria@yahoo.com,+63 (32) 234 4160,"39-B President Roxas corner Congressman Noel Streets, Villa Aurora, Kasambangan, Cebu City 6000 Cebu"
Ab Soberano International,marketing@absoberano.com,+63 (32) 262 9861,Cebu City 6000 Cebu
