name,email,phone,address
Cebu Bolt & Screw Sales,sales@cebubolt.com,+63 (32) 255 0061,"Unit A TCi Center, Leon Kilat Street, Kalubihan, Cebu City 6000 Cebu"
Cebu Bionic Builder Supply,info@cebubionic.com,+63 (32) 418 9191,"South Road, Mambaling, Cebu City 6000 Cebu"
Cebu Bg Cleaning,cebubgcleaning@gmail.com,+63 (63) 917 339 8612,"14-H Jones Avenue, Cebu, Cebu City 6000 Cebu"
Cebu Best Rent A Car,mannysuan11111@yahoo.com,+63 (32) 520 2710,"Linao, Talisay, Cebu City 6000 Cebu"
Belmont Depot,depotcebu@belmont.ph,+63 (32) 346 1262,"Legaspi corner P. Burgos Streets, Cebu City, Cebu"
Cebu Atlantic Hardware,cs1.atlantichardware@gmail.com,+63 (32) 261 4692,"66-72 B. Aranas Street, Cebu City 6000 Cebu"
Cebu Aeronautical Technical School,info@cats.edu.ph,+63 (32) 233 0002,"Geonzon Street corner Salinas Drive, Cebu City 6000 Cebu"
Cebu Ad Consultants,inquire@adcons.ph,+63 (32) 261 4234,"2124 Katipunan Street, Labangon, Cebu City, Cebu"
Cebu Ace-maritime International Inc,cam@cebuace-maritime.com.ph,+63 (32) 520 8855,"G/F GMC Plaza Building, MJ Cuenco Avenue corner Legaspi, Cebu City, Cebu"
Cebu A & M Glass And Aluminum Supply,jfox1buendia@gmail.com,+63 (922) 220 1292,"Jakosalem Street, Cebu City, Cebu"
Cbx,sales@cbx.com.ph,+63 (32) 253 0602,"Villalon Building, 260 Pres Osmena Boulevard, Cebu City 6000 Cebu"
Cbx,info@cbx.com.ph,+63 (32) 231 4369,"CBX Main, J. De Veyra St., off Juan Luna Ave., North Reclamation Area, Brgy. Carreta, Cebu City 6000 Cebu"
Casa Verde,info@casaverdecebu.com,+63 (32) 233 8885,"3rd Level The Terraces, Ayala Center Cebu, Cebu Business Park, Cebu City 6000 Cebu"
Casa Rosario Hotel,casa.rosario@yahoo.com.ph,+63 (32) 412 6290,"1101-E Don Ramon Aboitiz Street, Cebu City 6000 Cebu"
Casa Escano Bed And Breakfast,reservation@casaescano.com,+63 (32) 253 5563,"94 Juana Osmena Street, Cebu City 6000 Cebu"
