name,email,phone,address
Celebes Coconut,marketing@celebes.com,nan,"6 Lapu-Lapu Avenue, San Antonio Village, Cebu City 6000 Cebu"
Celchriz Construction & Supply,celchriz@hotmail.com,nan,"Elcar Building, 30-E Sabellano Street, Cebu City 6000 Cebu"
Ceed Marketing Corp,rheabantecil@gmail.com,nan,"North Reclamation Area, Cebu City, Cebu"
Cebusoft Systems,reynaldo@cebusoft.com,nan,"Salinas Drive, Lahug, Cebu City 6000 Cebu"
Cebujobs.ph,info@cebujobs.ph,nan,"8/F Crown 7 Building, Pope John Paul II Avenue, Mabolo, Cebu City 6000 Cebu"
Cebuana Lhuillier Pawnshop,cebuanacares@pjlhuillier.com,nan,"Gorordo Street, Barangay Kamputhaw, Cebu City 6000 Cebu"
Cebuana Lhuillier Pawnshop,care@pjlhuillier.com,nan,"M.J Cuenco Avenue corner Juan Luna Street, Barangay Mabolo, Cebu City 6000 Cebu"
Real Estate,realtor@cebu-realestateshop.com,+63 (928) 332 3733,"3/F 8990 Building, Negros Road, Cebu Business Park, Cebu City 6000 Cebu"
Adventist Hospital,admin@adventisthospital-cebu.org,+63 (925) 234 3118,"400 Tres de Abril Street, San Nicolas, Cebu City 6000 Cebu"
Cebu's Original Lechon Belly,marlon@cebuslechonbelly.com,nan,"G/F Sunergia Building, 85 Osmena Boulevard, Cebu City 6000 Cebu"
