name,email,phone,address
Cabu Pacific Hardware,atlantic@mozcom.com,nan,"66 B. Aranas Street, Barangay San Nicolas, Cebu City 6000 Cebu"
Cmi,cmiceb@yahoo.com,+63 (922) 482 1047,"Rg Arcade Building, Maria Luisa Road, Banilad, Cebu City 6000 Cebu"
Cabalen,function@cabalen.ph,nan,"G/F North Wing, SM City Cebu, North Reclamation Area West Diversion Road, Cebu City 6000 Cebu"
Collezione,smc@collezione-c2.com,nan,"2/F SM City Cebu, North Reclamation Area, Cebu City 6000 Cebu"
C.a.m.p. Cebu,info@campcebu.net,nan,"6/F BF Building, N. Escario, Cebu City 6000 Cebu"
C T Business Printers,ctbus8006@gmail.com,nan,"Cuenco Avenue, Cebu City 6000 Cebu"
"Armadillo Armor Defense Systems, Inc.",armadilloarmoredcars@gmail.com,+63 (915) 826 1656,"585 B.Rodrigues St., V.Rama avenue, Guadalupe, Cebu City 6000 Cebu"
Builders Choice,aa.baruel@builderschoice.com.ph,nan,"4388, Tungkil, J Villa Celina Subdivision, Minglanilla, Cebu City 6000 Cebu"
Budget Builders,wyl@budgetbuilders.com.ph,nan,"235 N. Bacalso Avenue, Cebu City 6000 Cebu"
Buchay International Ex-import,gst_cebuph@yahoo.com,nan,"Sitio Ipil, Cebu City 6000 Cebu"
Bruno's Barbers,info@brunosbarbers.com,nan,"B1 Ayala Center Cebu, Arch Bishop Reyes Street, Cebu Business Park, Cebu City 6000 Cebu"
