name,email,phone,address
Amer Trading,info@amer-trading.com,+63 (32) 516 9621,"Hyarm Building, 168 Cotcot, Cebu City 6000 Cebu"
Ambulunch Food Services,vcarin75@gmail.com,+63 (942) 017 7007,"162 Natalio Bacalso Avenue, Brgy. Pahina Central, Cebu City, Cebu"
Amadeus Marketing Philippines,mark.jurado@amadeus.com,+63 (32) 233 4055,"G/F Qc Pavilion, Gorordo Avenue, Cebu City 6000 Cebu"
Abe International Business College,ldcanora@amaes.edu.ph,+63 (32) 233 2171,"2/F Jy Square, Salinas Street, Complex 1, Cebu City 6000 Cebu"
Alpha Office Equipments Center,contact@alphacebu.com,+63 (32) 260 6346,"Door-D, #345 M.J. Cuenco Avenue corner L. Tudtud Street, Mabolo, Cebu City 6000 Cebu"
Alpaz Export,aec@alpaz.com,+63 (32) 255 4827,"Don Julio Llorente Street, Cebu City 6000 Cebu"
Allneeds Ph,allneeds.ph@gmail.com,+63 (032) 340 9107,"Goodwill Credit, Osmena Blvd, Sambag I, Cebu City, Cebu"
Alliance Hardware,ahi_cebu@yahoo.com.ph,+63 (32) 255 7926,"12th Avenue, Cebu City 6000 Cebu"
All Nation Security And Investigation Services,admin@allnationssec.com,+63 (32) 514 0057,"9/F Cebu Holdings Center, Cardinal Rosales Avenue, Cebu Business Park, Cebu City, Cebu"
Crocs,crocsphcares@gmail.com,+63 (32) 564 2574,"UG/F SM City Cebu, Juan Luna Avenue Extension, North Reclamation Area, Mabolo, Cebu City 6000 Cebu"
Alicia Tower Residences,aliciatowerresidences@yahoo.com.ph,+63 (32) 346 9418,"Gov. Mariano Cuenco Avenue, Banilad, Cebu City 6000 Cebu"
