name,email,phone,address
Biometrix Systems & Trading,bist_corp@yahoo.com,+63 (32) 420 0820,"888 Plaridel Street, Umapad, Mandaue City, Cebu"
Bigstart,bigstartmandaue@yahoo.com.ph,+63 (32) 421 1109,"Ground Floor Insular Square Mall, J. P. Rizal Street Tabok Mandaue, Mandaue City 6014 Cebu"
Bigblue Logistics,warehouse_logistics@yahoo.com.ph,+63 (32) 420 7881,"Se Jaime Street, Paknaan, Mandaue City, Cebu"
Bf Property Development,inquiry@bfparay.com,+63 (32) 422 7551,"Unit 7B BF Centerpoint, Hernan Cortes Street, Subangdaku, Mandaue City 6014 Cebu"
Besterm International Corporation,cebu@besterm.com.ph,+63 (32) 520 8310,"Benedicto College Building, A S Fortuna Street, Balikid, Mandaue City, Cebu"
Ben's Authentic Cebu Lechon And Native Restaurant,benslechon@gmail.com,+63 (32) 346 0711,"Savemore Park Mall 168, Reclamation Road Corner Ouano Avenue, Mandaue City, Cebu"
Belmont Hardware Depot,depotmandaue@belmont.ph,+63 (32) 505 0000 loc. 1000,"M.C. Briones Street, Maguikay, Mandaue City 6014 Cebu"
Belcris Foods,orders@belcris.com,+63 (32) 343 8219,"Palidel Street, Mandaue City, Cebu"
Belcris Food,belcrisdairy@yahoo.com,+63 (32) 236 9766,"Plaridel Street, Alang-alang, Mandaue City, Cebu"
Beeggymen Trade Center,beeggymen@freshcocebu.com,+63 (32) 346 7443,"211B, North Highway, Dona Rosario Village, Labogon, Mandaue City 6014 Cebu"
Bechar Philippines,elizalde_daan@yahoo.com,+63 (32) 346 0077,"Ae-111 Barangay Subang Daku, Mandaue City, Cebu"
Beauty Pia,bevs_1523@yahoo.com,+63 (32) 236 2099,"2/F Chatswood, H. Cortes Corner A.S. Fortuna Street, Mandaue City, Cebu"
Beauty Hall Spa And Lounge,beautyhallcebu@gmail.com,nan,"Unit 33 Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Bdo,callcenter@bdo.com.ph,+63 (32) 343 6531,"Dayzon Building, Lopez Jaena Street, Mandaue City 6014 Cebu"
Bci Asia Philippines,jessa.cb@bciasia.com,+63 (32) 268 9228,"880 A.S. Fortuna Street, Mandaue City, Cebu"
Bpi - Atm,expressonline@bpi.com.ph,+63 (2) 8 9100,"SM Hypermarket Cebu, M. Logarta Avenue, Mandaue City 6000 Cebu"
