name,email,phone,address
Cebu Ace Trucking,acetrucking800@yahoo.com,+63 (32) 350 7255,"F.E Zuellig Street C. Ouano Ave, Mandaue Reclamation Area, Subangdaku, Mandaue City 6014 Cebu"
Catalina Embroideries,jls@catalina.ph,+63 (32) 346 2829,"Upper Tingub, Mandaue City, Cebu"
Cana Party Essentials Balloons & Party Needs,carissavillar@gmail.com,+63 (32) 326 5828,"Zone Sikwa, Paknaan, Mandaue City, Cebu"
Camel Towing,cameltowingservice@gmail.com,+63 (32) 513 8180,"Codoy Cabahug Drive corner Hernan Cortes Street, Barangay Cabancalan, Mandaue City, Cebu"
Cad2000g,sammytiu168@yahoo.com,+63 (32) 346 9657,"513 Lopez Jaena Street, Mandaue City, Cebu"
C & L International Packaging,sales@wcci.com.ph,+63 (32) 233 2671,"M. Fernan Avenue, Mandaue City, Cebu"
Bpi,expressonline@bpi.com.ph,+63 (32) 318 2509,"MC Briones Street corner MB Fernan Road, Barangay Estancia, Mandaue City 6014 Cebu"
Boracay Getaway Tour,boracaygetawaytour@yahoo.com,+63 (32) 238 9316,"UG/F Icentre Mall, A.S. Fortuna Street, Mandaue City, Cebu"
Booksale,info@booksale.com.ph,nan,"G/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Bon Gre Corporation,info@bongre.com,+63 (32) 505 0025,"Unit C OCK Hardware Building, A.S. Fortuna Street, Barangay Banilad, Mandaue City 6014 Cebu"
Bomanite,cypressbomanite_cbu@yahoo.com,+63 (32) 516 5572,"A.S Fortuna Street, Banilad, Mandaue City, Cebu"
