name,email,phone,address
Cofta,cmcsales@cofta.com.ph,+63 (32) 343 3178,"Unit 11-12 Hvg Arcade, Subangdako, Mandaue City, Cebu"
Coffee Dream,info@coffeedream.com.ph,nan,"G/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Ciw Steel Industries,ciwsteel_cebu@yahoo.com,+63 (32) 420 2324,"A.S. Fortuna Street, Mandaue City, Cebu"
Civic Merchandising,imcs@civicmdsg.com.ph,+63 (32) 344 5672,"North Reclamation Area, F.F. Cruz Avenue, Subangdaku, Mandaue City, Cebu"
City Scape Hotel,cityscape.hotels@gmail.com,+63 (927) 659 2478,"H. Cortes Street Corner Ayala Access Road, Mandaue City, Cebu"
City Septic Tank Mandaue,jcmseptictank.services@yahoo.com,+63 (32) 511 4077,"Umapad, Mandaue City 6014 Cebu"
Cielito Manufacturing,cielito@globelines.com.ph,+63 (32) 422 1803,"Cement Wood Gate One, H. Abellana Street, Mandaue City, Cebu"
Chowking,customerfeedback@chowking.com,+63 (32) 346 3520,"Ouano Avenue, Mandaue City, Cebu"
Chong Hua Hospital,customerservice@chonghua.com.ph,+63 (32) 233 8000,"Mantawi International Drive, Subangdaku, Mandaue City 6014 Cebu"
Children's Paradise Montessori School,childrens.paradise@gmail.com,+63 (32) 416 0533,"H. Abellana Street, Canduman, Mandaue City, Cebu"
Chicken Deli,chickendeliparkmall@gmail.com,+63 (2) 90 3108,"G/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Cherry Mae Cadayona (independent Real Estate Broker),cherry.cadayona@gmail.com,+63 (32) 518 1485,"Urban Deca Homes Condominium, Tipolo, Mandaue City, Cebu"
Chain Glass Enterprise,rickyang@chainglass.com,+63 (917) 850 7969,"Cabancalan, Mandaue City, Cebu"
Central Visayas Lion Granite,cvliongranite@gmail.com,+63 (32) 239 5155,"YKG Building, Hernan Cortes Street, Barangay Subangdaku, Mandaue City 6014 Cebu"
