name,email,phone,address
Mang Inasal,feedback@manginasal.com,nan,"G/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Mandaue Fortune Motor Parts,formoparts_mandaue@yahoo.com.ph,+63 (32) 346 8451,"J.K Chua Building, Subangdaku, Mandaue City 6014 Cebu"
Mandaue Foam,feedback@mandauefoam.ph,+63 (32) 346 5341,"H. Cortez Street, Barangay Tipolo, Mandaue City 6014 Cebu"
Mandaue Diagnostics Supply Company,melvin_sumpio@yahoo.com,+63 (32) 346 1596,"3 Narra Street, Green Palins Banilad, Mandaue City, Cebu"
Mandaue Chamber Of Commerce Industry,marlenebedia@yahoo.com,+63 (32) 420 2252,"3/F Financial Center Building, A. C. Cortes Avenue Corner P. Burgos Street, Mandaue City, Cebu"
Mandaue Atlas Steel Fabrication,atlasfabrication@hotmail.com,+63 (32) 420 4646,"Plaridel Street, Paknaan, Mandaue City 6000 Cebu"
Magellan Veneer,janem@yahoo.com,+63 (32) 345 2733,"Casuntingan, Mandaue City, Cebu"
Mackim Prints,mackimprints2015@gmail.com,+63 (32) 420 0984,"UGL J Centre Mall, 128 AS Fortuna Street, Mandaue City, Cebu"
M.p.m. Safety,querriies@mpmsico.com,+63 (32) 236 3662,"Upper Malibu, Sabangdaku, Mandaue City, Cebu"
M-tag Transport,mrmsoco@yahoo.com,+63 (32) 267 5407,"7 Greenhills Road, Mandaue City, Cebu"
