name,email,phone,address
Europa Design Doors And Windows,info@europa-design-philippines.com,+63 (32) 420 5676,"E.O. Perez Street, North Reclamation Area, Subangdaku, Mandaue City 6014 Cebu"
Euroblade Trading,marketing@eurobladetrading.com,+63 (32) 344 0180,"Room 106 MGA Arcade, A.C Cortes Avenue, Cambaro, Mandaue City, Cebu"
Eurasian Maritime,info@eurasianmaritime.com,+63 (32) 344 5313,"2/F New Star Center, A.S. Fortuna Street, Bakilid, Mandaue City, Cebu"
Eukin Steel Fabricator,eukinindustrials@gmail.com,+63 (32) 422 1820,"18, H Abellana Street, Canduman, Mandaue City 6014 Cebu"
Esprint Software,mching@esprint.com,+63 (917) 622 4248,"Esprint Building, Sacris Road, Barangay Bakilid, Mandaue City, Cebu"
Enpekei,enpekei@pldtdsl.net,+63 (32) 345 0630,"V.B. Cabahug Street, Mandaue City, Cebu"
Enn Industrial Sales & Services,ennindustrial@yahoo.com,+63 (32) 412 1339,"Plaza Building, M-02 North Road, Labogon, Basal, Mandaue City, Cebu"
Energitech Industrial,energitech.industrial.corp@gmail.com,+63 (32) 239 2766,"Virginville Building, M. Sanchez Street, Mandaue City, Cebu"
En-en Designs,info@enendesigns.com,+63 (32) 420 4325,"Zone Tangkong Street, Mandaue City, Cebu"
Twinson,cets83@yahoo.com,+63 (32) 516 7384,"Door 8 Saint Therese Apartment, 1190-A Hernan Cortez Street, Mandaue City, Cebu"
Eliodoro S. Echeverria Jr.,junioreche@yahoo.com,+63 (917) 321 7902,"Albano Subdivision, Mandaue City, Cebu"
Elicar Glass & Aluminum Supply,elicarglass@yahoo.com,+63 (32) 564 3692,"Basak, Mandaue City, Cebu"
Eglobal Outsourcing Management Services,info@eglobal-outsourcingmanagement.com,+63 (917) 723 4228,"H. Abellana Street, Mandaue City, Cebu"
Efm Staffing General Services,efmsgs2004@yahoo.com,+63 (32) 239 7470,"F & C Building, S B Cabahug Street, Mandaue City 6014 Cebu"
Edcon Glass & Aluminum,edcon168@gmail.com,+63 (32) 344 9588,"Hernan Cortes Street, Mandaue City, Cebu"
Easy Gas Convenience Station,centro@easygas.com.ph,+63 (32) 346 5957,"Corner Lopez Jeana & Ceniza Sts., Centro, Mandaue City 6014 Cebu"
Eastman,sales@eastman.com.ph,+63 (32) 343 9452,"MGA Arcade, 107-108 A.C. Cortez Avenue, Mandaue City, Cebu"
East West Banking Corporation,service@eastwestbanker.com,+63 (32) 236 5582,"Block 01, 02 & 03, Upper Floor ALDO Building, North Road, Basak, Mandaue City, Cebu"
