name,email,phone,address
E-copy,info@ecopy.com.ph,+63 (32) 346 3976,"A.C. Cortez Avenue, Mandaue City, Cebu"
"Dynamic Power Marine & Industrial Hardware, Inc.",inquiry@dynamicpower.ph,+63 (32) 346 7955,"E.O. Perez Street, Subangdaku, Mandaue City 6014 Cebu"
Dranix,dranixdistributors@gmail.com,+63 (32) 420 4151,"M8 Antonio Bryan Development Corporation, S. Jayme Street, Zone Pechay, Paknaan, Mandaue City, Cebu"
Dolce Casa,info@cebuitalianwines.com,nan,"G/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Dmc Busa Printers,busaprinters@yahoo.com,+63 (32) 346 0486,"P. Basubas Street, Tipolo, Mandaue City, Cebu"
Dj Merchandising,rvdejesus@skyinet.net,+63 (32) 346 2176,"546-A Highway Subangdaku, Mandaue City, Cebu"
Dj And Sons Products And Services,cm@uno.net.ph,+63 (32) 346 9505,"Dj Building, Maguikay Highway, Mandaue City, Cebu"
Diana Multicraft,mgeson@skyinet.net,+63 (32) 345 4545,"Room 201 A. Geson Building, M.L. Quezon Street, Mandaue City, Cebu"
Diamond Trading & Services,joy.diamondts@skyinet.net,+63 (32) 344 6122,"Unit D-16 Vel - Ouano Building Il, Mc Briones Highway, Mandaue City, Cebu"
Biodiversity Management Bureau,bmb@bmb.gov.ph,+63 (917) 324 8040,"Greenplains Subdivision, Mandaue City 6014 Cebu"
Victor Hardware,victorhardware@yahoo.com,+63 (32) 236 4758,"Warehouse, 53 Castillex Street, Mandaue City, Cebu"
Degalen,degcorp@degalen.com,+63 (32) 346 2238,"PSO-170 Edificio Don Julio, Subangdaku, Mandaue City 6014 Cebu"
De Suerte Enterprises Company,limstella4@hotmail.com,+63 (32) 346 0233,"464 Lopez Jaena Street, Mandaue City, Cebu"
Dcp Protech Industries,dcprotechind@yahoo.com,+63 (32) 349 5786,"1105 Hernan Cortes, Wireless, , Subangdaku, Mandaue City 6014 Cebu"
Davies Paints Philippines,richelieu.tan@daviespaints.com.ph,+63 (32) 346 8426,"Subadangku, HVG IT Park, Mandaue City, Cebu"
