name,email,phone,address
Trish Diagnostics,trishdiagnostics@yahoo.com,+63 (32) 238 4049,"3rd - 5th NDI Building, A.O Del Rosario Street, Centro, Mandaue City 6014 Cebu"
Visayan Prince Diving College,info@visayanprincedivingcollege.com,+63 (32) 236 1481,"Quano Wharf, Mandaue City, Cebu"
Vcargo Worldwide,vanessaastronomo@vcargo.com.ph,+63 (32) 505 2986,"Unit E MSD Building, M.L. Quezon Street, Mandaue City, Cebu"
Vic Enterprises,vic.enterprise88@gmail.com,+63 (32) 232 1661,"Wireless Road, Mandaue City 6014 Cebu"
Verde Mart,go_verdemart@yahoo.com,+63 (922) 843 3799,"2/F Six Sister Building, Pagsabungan Highway, Basak, Mandaue City, Cebu"
Val & Sons Enterprises,valandsons@yahoo.com,+63 (32) 345 4978,"A.S Fortuna Street, St. Martin Village, Banilad, Mandaue City 6014 Cebu"
Unotel,usplusplus@gmail.com,+63 (923) 363 9509,"Chua Building, G.K Lopez Jaena Street, Subangdaku, Mandaue City, Cebu"
University Of Cebu Medical Center,info@ucmed.ph,+63 (32) 517 0888,"Ouano Avenue, Subangdaku, Mandaue City 6000 Cebu"
Unisave Security Specialist Agency,unisavemanpower@gmail.com,+63 (32) 414 0203,"249 S. B. Cabahug Street, Ibabao-Estancia, Mandaue City 6014 Cebu"
Unisa Office Automation,unisatrades@hotmail.com,+63 (32) 422 4057,"A.C. Cortes Avenue, Mandaue City, Cebu"
