name,email,phone,address
"Balwant Motors, Incorporated",info@bmotors.ph,+63 (917) 948 6569,"P. Remedio Street, Mandaue City 6014 Cebu"
Bai Hotel,info@baihotel.com.ph,+63 (32) 342 8888,"Ouano Avenue corner Seno Boulevard, City South Special Economic Administrative Zone, Mandaue City 6014 Cebu"
"B-cause Philippines, Incorporated",info@b-cause.co.jp,+63 (32) 824 0568,"Lopez Jaena Street, Mandaue City, Cebu"
Avl Realty,etr.edward@hotmail.com,+63 (32) 344 7713,"SB Cabahug Street, Ibabao, Mandaue City, Cebu"
Atlas Bolt & Supply,atlasbolts@yahoo.com,+63 (32) 236 4667,"G Atlas Bolt & Supply, 536 Lopez Jaena St., Highway, Subangdaku, Mandaue City 6014 Cebu"
Asuki Electronic Scales,asukisales@hotmail.com,+63 (32) 345 6111,"Reclamation Area, Mandaue City, Cebu"
Asiatemp Glass,sales@asiatempglass.com,+63 (32) 239 2398,"Don Sergio Suico Street, Canduman, Mandaue City, Cebu"
Asiapacific Safety And Industry Supply,asiapacificsafety@gmail.com,+63 (32) 239 2083,"6-May Alpita Centrum Annex, Subadangku, Mandaue City, Cebu"
Asian Alloy General Sales,aasianalloy@yahoo.com,+63 (32) 422 2783,"577 M.L. Quezon Street, Maguikay, Mandaue City 6014 Cebu"
Asian Alloy Enterprises,sales@electroweldph.com,+63 (32) 239 2074,"577 M L Quezon Street, Mandaue City, Cebu"
Asialink Academy,uyfang@yahoo.com,+63 (32) 422 8008,"C.D. Seno Street, Mandaue City, Cebu"
Asialight Travel And Tours,inquiry@asialighttravel.com,+63 (32) 422 7232,"Unit B, Ground Floor, FJO Building, M.C Briones Street, Mandaue City 6014 Cebu"
Asiacold Storage Corporation,sales@asiacoldstorage.net,nan,"MSD Building, Manuel L. Quezon Street, Mandaue City 6000 Cebu"
Asia Pacific Computers Sales & Services,asiapacificcomputers@yahoo.com,+63 (32) 345 2465,"A.S. Fortuna Street, Banilad, Mandaue City, Cebu"
Asia Divers,cebu@asiadivers.com,+63 (32) 344 6819,"A. C. Cortes Avenue, Mandaue City, Cebu"
Art Sign Design Services,artsigndesignservices@gmail.com,+63 (032) 239 0736,"G. Ouano Street, Opao, Mandaue City 6014 Cebu"
