name,email,phone,address
Danfil Discovery Tours,beadanfil@rocketmail.com,+63 (923) 332 9121,"Rm. H Yracahad Building, A.C. Cortes Avenue, Mandaue City, Cebu"
Da Vinci's Pizza,info@davincispizza.com.ph,nan,"2/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
D' Golden Van Rental,dgoldenboy351973@gmail.com,nan,"G. Ouano st. Alang Alang G. Ouano st. Alang Alang, Mandaue City, Alang Alang, Mandaue City 6014 Cebu"
D' Ancestors Pension,indira@ancestors.ph,+63 (32) 346 4357,"Catalina Perez Building, C Perez, Mandaue City, Cebu"
Cyprea,info@cocoandtres.com,+63 (32) 422 1286,"5159 Pagsabungan Road, Mandaue City, Cebu"
Ct Concepts Food Equipment Distributor,cebu@ctconceptsent.net,+63 (32) 236 3197,"Unit 4 Centro Fortuna Building, A S Fortuna Street, Banilad, Mandaue City, Cebu"
Crizben Trading And Fabricators,dw_builders@yahoo.com,+63 (32) 238 9228,"289 A. Del Rosario Street, Guizo, Mandaue City, Cebu"
Crest Sun Industrial Products,crestsun@yahoo.com,+63 (32) 345 0474,"M.C. Briones Street, Hi-Way, Maguikay, Mandaue City, Cebu"
Cosmotech Philippines,leziel@cosmotech.com.ph,+63 (32) 422 5680,"3/F Mjl Building, A.S. Fortuna Street, Mandaue City, Cebu"
Conventus Industrial Solutions,info@conventuscorp.com,+63 (32) 420 9588,"28, Mt Mayon Street, Singson Village, Tipolo, Mandaue City 6014 Cebu"
Ccm,sales@ccm.com.ph,+63 (32) 326 4659,"Container, Mabugat Road Lower Tabok Mandaue, Tabok, Mandaue City 6014 Cebu"
Constructo Enterprises,constructo.enterprises@gmail.com,+63 (032) 236 7940,"C. Ouano St., Looc, Mandaue City 6014 Cebu"
Competitive Card,hello@ccs.com.ph,+63 (2) 283 1971,"Unit 2B, 2/F J & M Centre, 456 North Road, Labogon, Mandaue City, Cebu"
Colt Express Trade And Sales,colt_express@yahoo.com,+63 (032) 232 5334,"R. T. Colina Street, Ibabao, Estancia, Mandaue City 6014 Cebu"
Colonie Pest Control,colonie0983@yahoo.com,+63 (32) 346 8411,"419 Rizal St., Barangay Tabok, Mandaue City 6014 Cebu"
Eglo Lifestyle Lighting,marketing@collins-international.com.ph,+63 (32) 520 3469,"Cebu Home Builders, A.S. Fortuna Street, Mandaue City, Cebu"
