name,email,phone,address
John Michael's Travellers Restobar,news@travellersrestobar.com,+63 (32) 328 1242,"2/F Veranda, J Centre Mall, 165 A.S. Fortuna Street, Bakilid, Mandaue City 6014 Cebu"
Jimcastler,jimcastler@jimcastler.com,+63 (32) 344 0692,"M.L. Quezon Street, Cabancalan, Mandaue City, Cebu"
Jho-aris Enterprises,jhoaris90@yahoo.com,+63 (32) 343 9381,"138 Gethsemine Road, Mandaue City 6014 Cebu"
Jetsetters Travel And Tours,jetsetters2005@yahoo.com,+63 (32) 422 5496,"G.F North Atrium, M.C. Briones Corner A.S. Fortuna Streets, Mandaue City, Cebu"
Jerecon Enterprises,optimum_phil@yahoo.com,+63 (032) 344 1981,"Unit 1 B. Acuña Compound, P. Burgos Street, Barangay Alang-Alang, Mandaue City 6014 Cebu"
Jerds Smart Lifter,jerdssmartlifter@gmail.com,+63 (32) 239 8438,"Rm 104 FC Quad, S.B. Cabahug Street, Ibabao, Mandaue City 6014 Cebu"
Jem Electrical Sales & Services,jemess125@yahoo.com,+63 (32) 421 3150,"Unit 10 B, 1190-A Hernan Cortes Street, Banilad, Mandaue City, Cebu"
Jc Armento Development,j-fernandez@jcaproperties.com,+63 (32) 420 9406,"2/F Alfeso 1, Mandaue City, Cebu"
James And James Furniture,jamesjamesfurniture@yahoo.com,+63 (32) 422 2128,"H. Abellana Street, Mandaue City, Cebu"
J Centre Convention Hall,convention@jcentrecebu.com,+63 (32) 266 8888,"165 A.S. Fortuna Street, Balikid, Mandaue City 6014 Cebu"
It Figures,info@itfiguressalon.com,+63 (32) 266 9238,"2F33B JCentre Mall, No. 165 AS Fortuna, Barangay Bakilid, Metro Cebu, Mandaue City 6014 Cebu"
Isuzu,marketing@isuzumanila.com,+63 (32) 346 3090,"North Highway, Jagobiao, Mandaue City 6014 Cebu"
Isolutions International Inc.,cebu-sales@isolutions.com.ph,+63 (32) 420 3519,"Doors 1 & 2, 2/F Carlos Peres Building, A.C. Cortez Avenue, Mandaue City, Cebu"
Intel Waterproofing Services,intelwaterproofs@gmail.com,+63 (32) 344 8612,"Mandaue Sports Complex, North Reclamation Area, Mandaue City 6014 Cebu"
