name,email,phone,address
Philcopy,info@philcopy.net,nan,"A C Cortes Av, Mandaue City, Cebu"
Petter Engineering And Machine Shop,info@pems.biz,nan,"Albano Street, Subangdaku, Mandaue City, Cebu"
Petron Gasoline Station,talk2us@petron.com,nan,"Tipolo, Mandaue City 6014 Cebu"
Paul Dp Graphics And Designs,pauldpgraphics@yahoo.com,+63 (916) 659 5804,"Rozen Bldg, AC Cortes Ave, Ibabao, Mandaue City 6014 Cebu"
Partner Solutions Services,admin@partnersolutions.com.ph,nan,"Unit 202 Grand Arcade Bldg., AC Cortes Ave., Brgy. Alang Alang, Mandaue City 6014 Cebu"
Parkmall,discover@parkmall168.com,nan,"168 Ouano Avenue, Mandaue City, Cebu"
Papart's Diner And Cafè,paparts.franchising@gmail.com,+63 (925) 333 1167,"2/F Maroo Arcade Building, Mantawe Avenue, Tipolo, Mandaue City, Cebu"
Palmax Solutions,palmaxoko@yahoo.com,nan,"Umapad Road, Mandaue City 6014 Cebu"
Pall Roces,palroc@philonline.com,nan,"Unit - D Suico Gabuya Building, 909 A.S. Fortuna Street, Banilad, Mandaue City, Cebu"
Boysen Paints,cebu@boysen.com.ph,nan,"1172-A Hernan Cortes Street, Mandaue City, Cebu"
Pacific Land Ventures And Property Development,marketing@pacificlandventures.com,+63 (917) 626 3308,"3/F Fcb Financial Center, A. S Fortuna Street, Banilad, Mandaue City, Cebu"
Pacific Island Renewable Energy Solutions,david@environmentalsolutions.asia,nan,"G/F J Centre Mall, 165 A.S. Fortuna Street, Mandaue City, Cebu"
P & J Septic Tank Hauler & Clean Up Service,pjsepticservices@gmail.com,+63 (933) 186 8541,"806 FB Cabahug Street, Ibabao, Mandaue City 6014 Cebu"
