name,email,phone,address
Cebu Rolling Hills Memorial Chapels,crhmc@yahoo.com,+63 (32) 346 2601,"A S Fortuna Street, Banilad, Mandaue City, Cebu"
Cebu Protrade Industrial,sales@protradeimaging.com,+63 (32) 345 2912,"KRC Building, National Highway, Subangdaku, Mandaue City 6014 Cebu"
Cebu Printing & Packaging,cppc1979@gmail.com,+63 (32) 346 8518,"1054 H. Cortes Street, Mandaue City 6014 Cebu"
Cebu Paragon Equipment Rental,paragonequipmentrental@gmail.com,+63 (32) 350 7255,"C. Ouano Avenue, Mandaue Reclamation Area, Subangdaku, Mandaue City 6014 Cebu"
Cebu Oversea Hardware Company,cb15_megamallcebu@yahoo.com,+63 (32) 343 6991,"A S Fortuna Street, Mandaue City, Cebu"
Cebu Maxicool Inc,cebu_maxicool@yahoo.com,+63 (32) 511 5429,"Hernan Cortes, San Vicente, Subangdaku, Mandaue City, Cebu"
Cebu International Convention Center,info.cicc@cebu.gov.ph,+63 (32) 238 2685,"C. Seno Street Corner Quano Avenue, North Reclamation Area, Mandaue City, Cebu"
Chbc,customer.service@cebuoversea.com,+63 (32) 343 6991,"A.S Fortuna Street, Banilad, Mandaue City, Cebu"
Cebu Grand Printers,cebugrandprinters@yahoo.com.ph,+63 (32) 326 0802,"Casili, Mandaue City, Cebu"
Cebu Golden Stitch,tcebugolden@yahoo.com,+63 (32) 346 3358,"Tresco Canning Compound, Barangay Casuntingan, Mandaue City, Cebu"
Cebu Glass Aluminum Palace,sales@cebuglass.com,+63 (32) 316 4795,"Six Sisters' Building, Pagsabungan Road, Basak, Mandaue City, Cebu"
Cebu Furniture Industries Foundation,info@furniturecebu.com,+63 (32) 420 4143,"Unit 15 Green Strip Building, S.E. Jayme Street, Pakna-an, Mandaue City 6014 Cebu"
Cebu Evergreen Industries,cab@cebuevergreen.com,+63 (32) 346 2970,"P. Remedio Street, Cabancalan, Mandaue City, Cebu"
Cebu Estate,info@cebuestate.com.ph,+63 (977) 017 8208,"Jagobiao, Mandaue City, Cebu"
Cebu Easy Rent-a-car,contact@cebueasyrentacar.com,+63 (32) 318 3825,"Unit #3 Mezzanine Floor, Florem Building, A. C. Cortes Av, Mandaue City 6014 Cebu"
Cebu Doctors' University,admin@cebudoctorsuniversity.edu,+63 (32) 238 8333,"1 Dr. P. V Larrazabal Jr. Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Cebu Dinero Travel And Tours,info@cebudinero.com,+63 (32) 346 2878,"S.B Cabahug Street, Mandaue City, Cebu"
Cebu Atlas Merchantile Corp,tplssl@hotmail.com,+63 (32) 513 6818,"M.C. Briones, Mandaue City 6014 Cebu"
Cebu Atlantic Hardware,cs1.atlantichardware@gmail.com,+63 (32) 346 2665,"650 Subangdangku Road, Subangdangku, Mandaue City 6014 Cebu"
Cebu Atg Realty Development,cebuatgrealty@yahoo.com,+63 (32) 350 7255,"Ouano Avenue, Mandaue Reclamation Area, Subangdaku, Mandaue City, Cebu"
Cebu Artshoppe,cebuartshoppe@yahoo.com,+63 (32) 420 7949,"18-B Imus, Mandaue City 6000 Cebu"
