name,email,phone,address
Technolab Analytical Group Incorporated,technolab.tagi@gmail.com,+63 (922) 410 5382,"701 Technolab Bldg., ML Quezon Street, Barangay Casuntingan, Mandaue City, Cebu"
Tailee Trading Company,taileetrading@ymail.com,nan,"S.B. Cabahug Street, Mandaue City, Cebu"
Tactical Security & Detective Agency,tactical.scty@gmail.com,nan,"Allure Hotel Complex, A.S. Fortuna Street, Bakilid, Mandaue City, Cebu"
Synergy Sales International,southern_synergy@yahoo.com,nan,"7th Avenue, Agro-Macro Subdivision, Mandaue City, Cebu"
Synergy Sales International Corporation,southern.synergycebu@gmail.com,nan,"83 & 84 Warehouse, Mandaue North Central, Cabancalan, Mandaue City, Cebu"
Synchrotek,merck@synchrotekph.com,nan,"S.A. Building, No. 18 Plaridel Street, Cambaro, Alang-Alang, Mandaue City, Cebu"
Sunpride Foods,sunpride@mozcom.com,nan,"S.E. Jayme Street, Paknaan, Mandaue City, Cebu"
Sunday Plastic Mill,sundayplasticmill@gmail.com,+63 (955) 850 5154,"Don Sergio Suico St., Riverside Canduman, Mandaue City 6014 Cebu"
Sun Gold Home Office Furnishings And Upholstery,sungoldfurniture@gmail.com,nan,"Wireless Street, Subangdangku, Mandaue City 6014 Cebu"
Success Road International Manpower,office1@successroad.asia,nan,"287 A. Del Rosario Street, Guizo, Mandaue City, Cebu"
Stronghold Glass And Aluminum,strongholdglass@yahoo.com,nan,"911 Hernan Cortes Street, Mandaue City, Cebu"
Stoneworld Impex,janet_stoneworld@yahoo.com,nan,"Tingub Street, Mandaue City, Cebu"
Stonesets International,maple.pine@gmail.com,nan,"Don Sergio Suico Street, Mandaue City, Cebu"
Stonepro Trading,roweled.stonepro@gmail.com,nan,"Itzo Building, 868 A.S Fortuna Street, Banilad, Mandaue City, Cebu"
Stitches And Wear Industries,stitchesnwear@yahoo.com,+63 (918) 926 3526,"513 Lopez Jaena Street, Wireless, Mandaue City 6014 Cebu"
Stikwerx Enterprises,stikwerxenterprises.cebu@gmail.com,+63 (919) 000 0714,"Zone A-1 Bridges Town Square, 143 Plaridel Street, Alang Alang, Mandaue City, Cebu"
