name,email,phone,address
Timex Philippines,boliver@timex.com,,"Peza, Lapu-Lapu City, Cebu"
The Jungle Restaurant and Entertainment,thejungleentertainment@gmail.com,,"Bagumbayan, Maribago, Lapu-Lapu City, Cebu"
The Bellavista Hotel,xenios@mozcom.com,,"M.L. Quezon Highway, Pusok, Lapu-Lapu City, Cebu"
The Anthurium Inn,anthuriuminn@yahoo.com.ph,,"Sitio Pool, Barangay Bankal, Lapu-Lapu City, Cebu"
Teodirico's Steamed Siomai,contact@teodiricos.com,,"Sudtunggan Road, Sudtunggan Road, Basak, Lapu-Lapu City, Cebu"
Switchtek Construction,switchtekboilers@yahoo.com,,"4/F Mondejar Building, Pusok Road, Lapu-Lapu City, Cebu"
Bench,customersupport@benchtm.com,,"Gaisano Mall Mactan Island, Manuel L Quezon Highway, Lapu-Lapu City 6015 Cebu"
Sun Gold Home Office Furnishings And Upholstery,sungoldfurniture@gmail.com,,"Punta Rizal Street, Lapu-Lapu City 6015 Cebu"
Sotogrande Hotel And Resort,info@sotograndehotelresort.ph,,"Angasil Road, Mactan, Lapu-Lapu City, Cebu"
Soto Grande,customerservice@sotograndehotelresort.ph,,"Dapdap, Lapu-Lapu City, Cebu"
Sonshine Kids International,sonshinekidsinternational@yahoo.com,+63 (927) 875 6872,"SonShine Kids International, Sangi New Road, Pajo, Lapu-Lapu City 6015 Cebu"
Skin 911 Facial & Slimming Centre,skin911.mainofc@gmail.com,+63 (917) 130 8452,"B.F. Mactan Strip, M.L. Quezon Avenue, Pajo, Lapu-Lapu City 6015 Cebu"
