name,email,phone,address
Goldberry Suites & Hotel,reservation@goldberrysuites.com,+63 (917) 320 4559,"M.L Quezon National Highway, Pusok, Lapu-Lapu City, Cebu"
Gluck Construction,gluck.constructionservices@gmail.com,,"TIANGUE ROAD, HANNIYAH SUBDIVISION, BABAG1 , Lapu-Lapu City, Cebu"
Globe,custhelp@globetel.com.ph,,"G/F Gaisano Grand Mall Mactan, Agus Road corner Basak Road, Lapu-Lapu City 6015 Cebu"
GLEN DALAGAN CUSTOMS BROKERAGE,glendalagan48@gmail.com,,"DECA 5, BASAK, Lapu-Lapu City 6015 Cebu"
Gilnaks Food Industries,gilnakila@yahoo.com,,"Humay Humay Road, Barangay Pajo, Lapu-Lapu City, Cebu"
Direct Import From Japan Surplus And Truck Parts,ghulamtradersintlcorp@yahoo.com.ph,+63 (32) 239 0336,"Mactan, Lapu-Lapu City 6015 Cebu"
Generika Drugstore,customerservice@generika.com.ph,,"F. Martir Street, Barangay Poblacion, Lapu-Lapu City 6015 Cebu"
Fuji Mart,fmci.cebu@gmail.com,,"Unit A-4 Santiago Arcade, MV Patalinjug Avenue, Pajo, Lapu-Lapu City, Cebu"
Formaply Industries,emiliano@I-manila.com.ph,+63 (32) 343 6036,"L3217-B Subasbas Road, Lapu-Lapu City, Cebu"
Flight Dynamics School Of Aeronautics,flightdynamics_jpc@yahoo.com,,"General Aviation Road, Lapu-Lapu City, Cebu"
Fasson Marketing.Com,tiff.fasson_marketing @yahoo.com,,"Lopez Jaena Street, Poblacion, Lapu-Lapu City, Cebu"
Family Farm Grill House,joramdel@yahoo.com,,"Sangi Road, Mactan Air Base, Lapu-Lapu City, Cebu"
Express Inn,rian.duhig@expressinnph.com,,"Candelario K. Guba, Sangi Road, Pajo, Lapu-lapu City, Lapu-Lapu City 6015 Cebu"
Europcar,cebu@europcar.com.ph,,"Arrival Area, Mactan Cebu International Airport, Airport Road, Lapu-Lapu City, Cebu"
Energy Efficiency Solutions & Services,jomavasquez@yahoo.com,+63 (917) 300 8891,"943 Mahayhay Road, Lapu-Lapu City, Cebu"
Electroworx Services,electroworx@yahoo.com,,"605 P. Rodriguez Street, Lapu-Lapu City, Cebu"
Egs Asia,egsasia@mozcom.com,+63 (32) 341 3185,"Building 1 Cebu Yacht Club, Pusok, Lapu-Lapu City, Cebu"
