name,email,phone,address
Be Visible Media,dale@bevisiblemedia.com,+63 (917) 715 0137,"Block 9 Lot 12, Rosal ST Ilang-Ilang, Pacific Villa 1, Pajac, Lapu-Lapu City 6015 Cebu"
Bridges Optimum Cleaning Solutions,bridgesoptimumcleaners@gmail.com,+63 (32) 238 1277,"Timpolok, La Aldea Buena Mactan Homes, Lapu-Lapu City 6015 Cebu"
Blufins Resort,bluefinsresort@gmail.com,+63 (917) 312 8692,"Lapu-Lapu City, Cebu"
Bluewater Maribago Beach Resort,maribago@bluewater.com.ph,+63 (32) 232 5411,"Coastal Road, Lapu-Lapu City, Cebu"
Bluefins Resort,reservations@bluefinsresortcebu.com,+63 (32) 406 8034,"Hedsan, Mactan Island, Barangay Agus, Lapu-Lapu City, Cebu"
Blubreed Security Agency,info@bluebreedsecurity.com,,"G/F Room 107, AMCO Plaza Building , ML Quezon National Highway, Pajo, Lapu-lapu City , Lapu-Lapu City 6015 Cebu"
Biofree Pest Control Services,biofreepestcontrolservices@gmail.com,+63 (32) 324 4400,"Gabi S. Osmeña St., Gun-ob, Lapu-Lapu City 6015 Cebu"
Berkman Systems,jestardo@berkman.com.ph,+63 (32) 342 8153,"Unit 203 AMCO Plaza, M.L. Quezon Highway, Lapu-Lapu City, Cebu"
Bdo,callcenter@bdo.com.ph,+63 (32) 727 3723,"G/F Radaza Building, Osmena Street, Lapu-Lapu City 6015 Cebu"
Batillers Van Rental,batillersvan@gmail.com,+63 (906) 827 9368,"Brgy. Agus, Lapu-Lapu City, Cebu"
Bpi,expressonline@bpi.com.ph,+63 (32) 318 3522,"Super Metro Lapu-Lapu, ML Quezon Avenue corner Mantaue Road, Barangay Pajo, Lapu-Lapu City 6015 Cebu"
Bpi,expressonline@bpi.com.ph,+63 (32) 318 2507,"Mactan Economic Zone II Pueblo Verde, Barangay Basak, Lapu-Lapu City 6015 Cebu"
Bpi,expressonline@bpi.com.ph,+63 (32) 318 2506,"2nd Street Mactan Economic Zone 1, Barangay Ibo, Mactan, Lapu-Lapu City 6015 Cebu"
Bacchus International,bacchuscebu@bacchusworld.com,+63 (32) 231 5077,"G/F Shangri-La Mactan Island Resort, Punta Engano Road, Lapu-Lapu City, Cebu"
B.D.C Digital Printing Services,bespokedesigncebu@gmail.com,+63 (919) 568 3867,"2 Hawaiian, Marigondon, Lapu-Lapu City 6015 Cebu"
Avatar Accessories,gil@avatar-style.com,+63 (32) 341 0616,"Avatar Style Center, Mactan Circumferential Road, Marigondon, Lapu-Lapu City, Cebu"
Austolia Jewelry Arts,rensim@globelibes.com.ph,+63 (32) 495 7806,"Buyong, Lapu-Lapu City, Cebu"
Pool Builder Cebu - ATPOOLS Construction Services,atpools.info@gmail.com,+63 (935) 127 8474,"Lady Di's Compound Eskwelahan Road, Sittio Kalubihan, Basak, Lapu-Lapu City 6015 Cebu"
