name,email,phone,address
Metrobank - Atm,customercare@metrobank.com.ph,+63 (2) 8 870 0700,"Fairchild Semiconductor Building ATM 2, 1st Street corner MEPZ 1, Lapu-Lapu City 6015 Cebu"
Metrobank - Atm,customercare@metrobank.com.ph,+63 (32) 495 9885,"N.G.A Development Corporation, MEPZ II, Basac, Lapu-Lapu City 6015 Cebu"
Metrobank,customercare@metrobank.com.ph,+63 (32) 495 9885,"N.G.A. Development Corporation Building, Basac Street, MEPZ II, Lapu-Lapu City 6015 Cebu"
Metrobank,customercare@metrobank.com.ph,+63 (32) 341 3014,"Mactan Economic Zone 1, Lapu-Lapu City 6015 Cebu"
Metrobank,customercare@metrobank.com.ph,+63 (32) 340 1181,"National Highway, Pusok, Lapu-Lapu City 6015 Cebu"
Metrobank - Atm,customercare@metrobank.com.ph,+63 (2) 8 870 0700,"National Highway, Mactan, Lapu-Lapu City 6015 Cebu"
Metrobank - Atm,customercare@metrobank.com.ph,+63 (32) 340 1182,"G/F, Quezon National Highway, Bo. Pusok, Lapu-Lapu City 6015 Cebu"
Metrobank - Atm,customercare@metrobank.com.ph,+63 (32) 340 1181,"Quezon National Highway, Lapu-Lapu City 6015 Cebu"
Metrobank,customercare@metrobank.com.ph,+63 (32) 340 1037,"G.Y dela serna Street, Poblacion, Lapu-Lapu City 6015 Cebu"
Mercury Drug,info@mercurydrug.com,+63 (32) 268 4477,"M. Patalinghug Jr. Avenue, Lapu-Lapu City, Cebu"
Mercury Drug,info@mercurydrug.com,+63 (32) 340 1049,"G.Y. Dela Serna Street, Lapu-Lapu City 6015 Cebu"
Medved Travel,imee@medvedtravelcebu.com,+63 (919) 453 7688,"Lapu-Lapu City, Cebu"
"Mariñas & Co. Builders, Inc",info@mcbi-builders.com,+63 (32) 236 7827,"2/F EPJ Building, Basak Street, 2367827, Lapu-Lapu City, Cebu"
Mariosoft Solutions,mariosoft83@gmail.com,+63 (32) 495 9981,"YLA Basak, Lapu-Lapu City, Cebu"
Mang Inasal,feedback@manginasal.com,+63 (32) 495 5555,"G/F Gaisano Mactan Island Mall, M. L. Quezon National Highway, Pajo, Lapu-Lapu City 6015 Cebu"
Maedan,maedan@pacific.net.ph,+63 (32) 340 3161,"House 1, Sitio Cemento Pusok, Lapu-Lapu City, Cebu"
Mactan Island Aquarium,mactan.aquarium@yahoo.com,+63 (32) 236 5668,"Basement Mactan Island Aquarium, Basak-Marigondon Highway, Basak, Lapu-Lapu City, Cebu"
Mactan Doctors Hospital,mactan_doctors@yahoo.com,+63 (32) 236 0000,"Maximo V. Patalinghug Jr. Avenue, Basak, Lapu-Lapu City 6015 Cebu"
Mactan Aquaponics Philippines Trader,heal509joel@yahoo.com,+63 (32) 495 7204,"943 Mahayhay Road, Lapu-Lapu City, Cebu"
Mactan Aluminum And Glass Supply,mactan_aluminumglasssupply@yahoo.com,+63 (917) 185 3499,"DISCAYA BUILDING, Kagodoy Road, Basak, Lapu-Lapu City 6015 Cebu"
