name,email,phone,address
Islands Banca Cruises,info@islandsbanca.com,+63 (32) 236 4896,"Scuba World, Lapu-Lapu City, Cebu"
Reprojects Cad Plotting And Blueprinting,reprojects123@gmail.com,+63 (32) 384 5315,"Room 308 Lilang's Guitar Building, M.L. Quezon Street, Baranggay Pajo, Lapu-Lapu City, Cebu"
iHearBetterNow Hearing and ENT Center,ihearbetternow@gmail.com,+63 (32) 340 0376,"RM 2-28 City Time Square Mactan, Basak-Marigondon Road, Basak, Lapu-Lapu City 6015 Cebu"
I Love Wine,mannyo_wines@oikoscebu.com,+63 (32) 492 7788,"Lapu-Lapu City, Cebu"
Health So Good Clinics and Diagnostics,hsgdiagnostics@gmail.com,+63 (32) 407 4462,"Units 24 and 25, 2/F City Time Square Mactan, Basak-Marigondon road, Basak, Lapu-Lapu City 6015 Cebu"
Hollywood Suites And Resort,reservations@hollywoodsuites.com.ph,+63 (32) 493 8888,"Bigfoot I.T. and Media Park, 1 One Hollywood Boulevard, Lapu-Lapu City, Cebu"
Vanilla Beach Cafe,reservations.cebu@hilton.com,+63 (32) 492 7777,"Hilton Cebu Resorts & Spa, Punta Engano Road, Mactan Island, Lapu-Lapu City 6015 Cebu"
Hertz Car Rental Philippines,booking@hertzphilippines.com,+63 (999) 678 4330,"Mactan - Cebu International Airport, Lapu-lapu Airport Road, Brgy. Ibo, Lapu-Lapu City 6016 Cebu"
"Hein Chrispijn Metamorfose Phil., Inc.",sales@metamorfose.ph,+63 (2) 495 8520,"Zone 4, Buaya, Lapu-Lapu City, Cebu"
Handyman,info@handyman.com.ph,+63 (32) 505 8119,"G/F Gaisano Mactan Island Mall, M.L. Quezon Highway, Pajo, Lapu-Lapu City 6015 Cebu"
Mcdonalds,writeus@ph.mcd.com,+63 (32) 341 3730,"M.L. Quezon Highway, Lapu-Lapu City 6015 Cebu"
