name,email,phone,address
Aqua Marine Enterprises & Construction Supply,aqua.marine2010@yahoo.com,+63 (32) 505 4852,"Humay-Humay Road, Barangay Pajo, Lapu-Lapu City 6100 Cebu"
Annset Holidays,tours.travel@annsetholidays.com.ph,+63 (32) 341 0943,"G/F Bellavista Hotel, Main Road, Lapu-Lapu City 6015 Cebu"
Amuma Spa,maribago@bluewater.com.ph,+63 (32) 492 0112,"Maribago, Lapu-Lapu City, Cebu"
Altamira Pest Control Services,alan_mendoza1@yahoo.com,+63 (032) 239 0548,"BLK 3 LOT 17 GENESIS HOMES, MASULOG LAUPU-LAPU CITY, Lapu-Lapu City 6015 Cebu"
Alta Cebu Resort,info@altacebu.com,+63 (32) 513 2088,"Tugbungan Pilipog, Lapu-Lapu City, Cebu"
Egi Cebu Mactan Hotel,grace_ganzon@yahoo.com,+63 (32) 239 4411,"Maribago, Lapu-Lapu City, Cebu"
Alegre Guitars,alegreguitar@yahoo.com.ph,+63 (32) 340 4492,"Pajac-Maribago Road, Lapu-Lapu City, Cebu"
Air21,write-to-air21@af2100.com,+63 (32) 341 2121,"Cargohaus Building, Lapu-Lapu City 6015 Cebu"
Air21,write-to-air21@af2100.com,+63 (32) 341 2121,"U-Freight Building, Airport Road, Mactan International Airport Cargo Complex, Lapu-Lapu City 6000 Cebu"
Adson Cargo Express And Travel,adson.cargo@yahoo.com,+63 (32) 994 1056,"B2 Santiago Arcade, Patalinghug Street, Lapu-Lapu City, Cebu"
Abella Septic Tank Services,jcmseptictank.services@yahoo.com,+63 (32) 511 4076,"945 Mahayahay, Bangkal, Lapu-Lapu City 6015 Cebu"
Abc Party Needs Rental,colina_cyrill@yahoo.com,+63 (32) 494 4478,"2383 Kauswagan , Bankal Lapu-lapu City, Lapu-Lapu City 6015 Cebu"
Abaca Boutique Resort And Restaurant,relax@abacaresort.com,+63 (32) 495 3461,"Punta Engano Road, Mactan Island, Lapu-Lapu City, Cebu"
A.A. Masong Construction,aamasong@yahoo.com,+63 (32) 341 1301,"A.M.M. Building, Naga Road, Lapu-Lapu City 6015 Cebu"
Cafe A' La Turka,alaturka@hotmail.com,+63 (32) 340 2301,"A' La Turka, Isuya, Mactan, Lapu-Lapu City, Cebu"
A Mesa Seafood and Tapas Bar,lamesacebu@gmail.com,+63 (32) 411 0247,"3/F Jinju square, M.L Quezon Highway, Maribago, Lapu-Lapu City 6015 Cebu"
8 Miles Travel Corp.,8milestravel@gmail.com,+63 (32) 236 7827,"Room 21 City Times Square, Basak, Lapu-Lapu City, Cebu"
3jm Travel And Tours,jm3_travel@yahoo.com,+63 (32) 341 5779,"Manuel L. Quezon Street, Lapu-Lapu City, Cebu"
