name,email,phone,address
Landbank,customercare@mail.landbank.com,,"Peza Admin Building, 1st Avenue, Lapu-Lapu City 6015 Cebu"
Landbank,customercare@mail.landbank.com,,"Pajo Street, Lapu-Lapu City 6015 Cebu"
Lancaster Hotel,reservations@lancasterhotels.com.ph,,"Barangay Pusok, Lapu-Lapu City, Cebu"
Kerry Aboitz Logistics,vanessa_sumanpan@kerry-aboitz.com,,"MCIAA Compound, Airport Road, Cargo Complex, Pusok, Lapu-Lapu City, Cebu"
Ke2 Adventures Services,kenjesuss@yahoo.com,,"Lot1 Paseo De Amdres, Gun-ob, Lapu-Lapu City, Cebu"
JS Web Design Services,contact@junsanchez.com,+63 (977) 017 8208,"13/8, Sacra Rd, Navona Sbd, Calawisan, Lapu-Lapu City 6015 Cebu"
Jpark Island Resort And Water Park,rsvn@ip-cebu.com,,"M.L. Quezon Highway, Barangay Maribago, Lapu-Lapu City, Cebu"
Jollibee,feedback@jollibee.com.ph,,"Gaisano Grand Mall Of Mactan, Basak Street, Lapu-Lapu City 6014 Cebu"
Jo-Cris Apartelle,apartellejocris@yahoo.com,+63 (933) 509 3702,"Kainsong Street, Brgy. Basak, Lapu-Lapu City 6015 Cebu"
Jimmz Rentals & Services,jimzfire67@gmail.com,+63 (942) 461 6862,"MV Patalinghug Avenue, Sangi, Pajo, Lapu-Lapu City 6015 Cebu"
Ups Ecash Center,sales@geminivoofice.com,+63 (927) 491 9530,"M.V PATALINGHUG AVENUE, PAJO, Lapu-Lapu City 6015 Cebu"
Jesster Advertising,jessterads@yahoo.com,+63 (920) 908 1209,"JessterAds Bldg. , Ticgahon Bankal Road, Brgy. Bankal, Lapu-Lapu City 6015 Cebu"
