name,email,phone,address
Eco Nuestra Food Products,econuestra.2019@gmail.com,+63 (32) 340 7481,"Sangi, New Road , Pajo, Lapu-Lapu City 6015 Cebu"
Easy Travel And Tours,easytravel2philippines@yahoo.com,+63 (32) 340 1424,"2/F Mactan Marina Mall, Blk-A Ibo, Lapu-Lapu City, Cebu"
Easy Gas Convenience Station,inquiries@easygas.com.ph,+63 (32) 341 4907,"Maximo Patalinhug Ave., Humay-Humay, Lapu-Lapu City 6015 Cebu"
Easy Breezy,info@easybreezy.ph,+63 (032) 514 7842,"5 SRBA Building, Sitio Kalubihan 1, Pajac, Lapu-Lapu City 6015 Cebu"
Dulcinea Hotel And Suites,info@dulcineahotel.com,+63 (32) 495 2741,"3/F Shangs Mactan Town Center, M.L Quezon National Highway, Pajo, Lapu-Lapu City, Cebu"
Dp Ybanez Group Of Companies,homebrand.wrs@gmail.com,+63 (32) 505 0731,"215 Pajac Road, Pajac, Lapu-Lapu City, Cebu"
DJM Digital Print Ads and Photo Graphics Studio,djm.print2019@gmail.com,+63 (942) 177 5072,"G.Y Dela Serna Street, Poblacion, Lapu-Lapu City, Cebu"
Dive Funatics,info@divefunatics.com,+63 (32) 268 2354,"Datag, Maribago, Mactan, Lapu-Lapu City, Cebu"
Days Hotel,rivera_romeo@yahoo.com,+63 (32) 495 5381,"Airport Road, Matumbo Pusok Hills, Lapu-Lapu City, Cebu"
Cyber Genie Virtual Assistance,philline.janson@gmail.com,+63 (922) 583 2253,"Sudtonggan, Basak, Lapu-Lapu City, Cebu"
Crimson Resort And Spa,Info.mactan@crimsonhotel.com,+63 (32) 401 9999,"Seascapes Resort Town, Casia Soong Road, Mactan Island, Lapu-Lapu City, Cebu"
Tempo,Info.mactan@crimsonhotel.com,+63 (32) 401 9999,"Crimson Beach Resort & Spa Mactan, Mactan Island, Lapu-Lapu City, Cebu"
Crimson Beach Resort & Spa,info.mactan@crimsonhotel.com,+63 (2) (032) 230 4000,"Seascape Resort Town, Mactan Island, Lapu-Lapu City, Cebu"
Conveying & Packaging,convpack_cebu@yahoo.com,+63 (917) 887 9365,"Rm. 3 J & H Apartments, Punta Rizal Street, Lapu-Lapu City, Cebu"
Conscepto Building and Construction Services,consceptobuilding@gmail.com,+63 (32) 425 9788,"Basak-Sudtunggan Road, Lapu-Lapu City, Cebu"
Chowking,customerfeedback@chowking.com,+63 (32) 239 5402,"Gaisano Grand Mall Of Mactan, Basak Street, Lapu-Lapu City, Cebu"
