name,email,phone,address
Sdr Serviced Apartments,bookings@sdrapartments.com,+63 (32) 238 3929,"Kiener Hills Condominums, Barangay Matumbo, Pusok, Lapu-Lapu City, Cebu"
Scuba World,mactan@scubaworld.com.ph,+63 (32) 495 1382,"Punta Engano, Lapu-Lapu City, Cebu"
Scottys Dive Center,dive@divescotty.com,+63 (32) 231 5061,"Punta Engana Road, Lapu-Lapu City, Cebu"
Savoy Hotel Mactan Newtown,reserve@savoymactan.com,+63 (32) 494 4000,"The Mactan Newtown, Newtown Boulevard, Lapu-Lapu City, Cebu"
San's Space Apartment,sans_space_apartment@yahoo.com,+63 (32) 495 8045,"Mahayahay Bankal, Lapu-Lapu City, Cebu"
Ruble Systems,aristonapao@yahoo.com,+63 (32) 495 1954,"207 B. Rodriguez Street, Lapu-Lapu City, Cebu"
Rose Pharmacy,online@rosepharmacy.com,+63 (32) 260 4277,"2/F Metro Gaisano, National Highway, Pajo, Lapu-Lapu City 6015 Cebu"
Rose Pharmacy,online@rosepharmacy.com,+63 (32) 341 3378,"Alpha Arcade, M.L. Quezon Highway, Lapu-Lapu City 6015 Cebu"
Ronnies Tattoo And Piercing Studio,info@ronniestattoo.com,+63 (32) 340 5900,"Plantation Bay Resort And Spa, Lapu-Lapu City, Cebu"
Rolchem Merchandising,rolchem_mdsg18@yahoo.com,+63 (32) 340 6402,"Rolchem Warehouse, Kinalumsan Rd, Lapu-Lapu City, Cebu"
Rocema Barging Services,rocemabarging@yahoo.com,+63 (916) 615 9143,"Suba Masulog, Basak, Lapu-Lapu City, Cebu"
Rent Sound System Cebu,support@rentsoundsystemcebu.com,+63 (32) 317 7000,"Gun-ob, Lapu-Lapu City, Cebu"
Rei Handi,reihandi@skyinet.net,+63 (32) 495 8652,"Casia Bangkal, Lapu-Lapu City, Cebu"
Redwheels,redwheels_031407@yahoo.com,+63 (32) 516 7201,"Pajac, Lapu-Lapu City, Cebu"
Red Bark Treasures Development,jlo@coast-pacific.com,+63 (32) 231 7059,"Goldberry Suites & Hotel, M.L. Quezon National Highway, Lapu-Lapu City, Cebu"
